Unnamed: 0,text,Label_by_zihan,Label_by_ben,Label_by_nicole,average,label,Qwen 1.5 Chat (0.5B),Qwen 1.5 Chat (1.8B),Qwen 1.5 Chat (4B),Qwen 1.5 Chat (7B),Qwen 1.5 Chat (14B),Qwen 1.5 Chat (72B),LLaMA-2 Chat (70B),GPT-4o,GPT-3.5 Turbo,GPT-4 Turbo,GPT-4o W/O Reasoning,Sentiment Roberta,Custmized Bert
116,Free use-case based #DeepLearning course with #TensorFlow at #BigData…,5.0,5.0,5.0,5.0,5,7.0,1.0,1.0,6.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,6.243684,6.0683784
117,As does the $$ the Secret Service must pay to fly on Trump planes to protect Melania & the kids.,3.0,5.0,5.0,4.333333333,5,0.0,5.0,1.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,4.046886,3.5656223
118,"Honored to represent 2 discuss Robots, Materials, Energy & Agriculture at XI Innovation Congress #sswcee",7.0,6.0,6.0,6.333333333,10,0.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,7.366168,7.272236
119,"Medical marijuana is legal in majority of America, yet veterans get no guidance thanks to VA policy…",3.0,4.0,5.0,4.0,0,0.0,1.0,1.0,6.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,3.986057,3.3054237
120,".@CCFA Of all things, homeopathy? Patients need to know this is a scam with no basis in science (or reality).",3.0,3.0,4.0,3.333333333,0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.6987865,2.6853077
121,"SORRY, HARRY...I'M LEAVING YOU FOR YOUR TWIN: MARCEL #JK #Onedirection #HarryStyles",5.0,6.0,5.0,5.333333333,5,7.0,3.0,0.0,6.0,3.0,6.0,6.0,6.0,1.0,6.0,3.0,5.0353837,5.1139383
122,America was saved. Wake the hell up. You want 2M refugees? Global gov?TPP?Learn the facts goto college,2.0,3.0,4.0,3.0,0,7.0,2.0,0.0,7.0,8.0,5.0,4.0,3.0,3.0,3.0,3.0,2.980392,4.1065073
123,Soz but u can't protest against animal testing if you eat meat & dairy. Laboratories are like a vacation compared to meat & dairy farms.,3.0,5.0,4.0,4.0,5,0.0,10.0,1.0,6.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.4725747,4.1161914
124,HBO hun...the show is really good. Get read to have Melania Trump facial expression for like three episodes though😂,7.0,5.0,7.0,6.333333333,10,9.0,5.0,8.0,8.0,6.0,8.0,6.0,7.0,8.0,7.0,8.0,7.274442,7.417647
125,Thousands flee Raqqa as Turkish-Kurdish tensions threaten anti-IS campaign #ISIS,4.0,3.0,4.0,3.666666667,5,0.0,7.0,0.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0536194,3.1446316
126,"""who's the most wiped out white boy? Zac Efron! Zac Efron!""",5.0,4.0,7.0,5.333333333,5,7.0,1.0,0.0,0.0,3.0,6.0,6.0,4.0,1.0,6.0,4.0,5.4885263,5.7509055
127,Fan opinion: right now I would absolutely take Justin Verlander as a Red Sox. Hands down. #RedSox,5.0,6.0,5.0,5.333333333,10,0.0,10.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,6.948797,6.6132812
128,Anti-Trump Protests And Riots Backfire!! Students Starting To Realize Th... via,3.0,4.0,4.0,3.666666667,5,7.0,5.0,0.0,4.0,4.0,5.0,3.0,3.0,2.0,6.0,4.0,3.1099296,2.7396913
129,"RT When they're literally doing a Nazi salute you don't have to fudge and call them ""alt right""",3.0,3.0,3.0,3.0,5,0.0,7.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,6.0,1.0,3.2423499,3.98842
130,#humanrights #UnitedNations Palestinian capable of overcoming aches to help humanitarian aids!,6.0,6.0,6.0,6.0,5,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,6.609153,6.943015
131,#today Somewhere quite high on a road between Bala and Vyrnwy,5.0,5.0,5.0,5.0,5,9.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.1048627,5.503352
132,"isn't he the ultra conservative anti- gay marriage, anti-abortion, anti- everything guy?",3.0,2.0,5.0,3.333333333,0,7.0,7.0,1.0,0.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,3.7719736,3.8843937
133,"And in my defense, I said Marcelo out of reflex but clarified that Cristiano Ronaldo dos Santos Aveiro is actually the best.",6.0,7.0,7.0,6.666666667,10,0.0,7.0,7.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,7.0,6.8688684,6.912758
134,Ashley Graham Lands Her First 'Vogue' Cover and Goes Au Naturel,5.0,6.0,7.0,6.0,5,9.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,5.490355,6.6140995
135,"So I see the takes this week are split between ""the popular vote should reign supreme"" and ""enlightened electors should override the voters""",5.0,5.0,4.0,4.666666667,5,0.0,6.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.3427396,4.803711
136,I think we should give all #ISIS members a Bible this #Christmas,3.0,5.0,5.0,4.333333333,5,0.0,6.0,0.0,1.0,1.0,4.0,8.0,3.0,5.0,3.0,2.0,3.6071317,5.914522
137,"Even after the 4th time watching #FantasticBeasts, I still teared up at the John Williams opening scores. Such a cry baby 😭",7.0,7.0,8.0,7.333333333,10,7.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,4.222026,3.5402641
138,"Never will let - via the reluctance influx of robbed by Poroshenko Ukrainian, where millions of families live on $ 40 a month",3.0,4.0,4.0,3.666666667,0,7.0,10.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.125894,2.7856433
139,"The ""rich white racists"" hurting ""brown people"" are the Liberals inciting riots & racial divide in America! #Putin'…",3.0,2.0,4.0,3.0,0,0.0,7.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,2.746786,2.6209714
140,Banda Piper - Ricky Martin (Livin' la vida loca) e Marron 5 (This love) via,5.0,5.0,5.0,5.0,5,5.0,7.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.297023,6.171525
141,Tesla Factory overview they're already producing Model 3 or S,6.0,5.0,5.0,5.333333333,5,0.0,3.0,0.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,5.2409344,6.0922914
142,I am so excited to see and on #GilmoreGirlsTop4 #FallonTonight,7.0,7.0,8.0,7.333333333,10,0.0,10.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,7.4693265,7.480683
143,Review: Google Earth VR - VR Today Magazine (apparently remarkable achievement!) #VR,8.0,6.0,6.0,6.666666667,10,0.0,10.0,1.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.438869,7.394578
144,I followed Pope Francis' Latin twitter. I don't speak Latin.,5.0,5.0,5.0,5.0,5,9.0,5.0,6.0,6.0,3.0,4.0,8.0,5.0,5.0,6.0,5.0,4.9757934,5.3260965
145,"But,her sis was big in election,familyRall writers&ACexpert on digi media,so logical cd increase # s",5.0,5.0,5.0,5.0,10,8.0,7.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,5.7408953,6.289315
146,"Wait, Grayson Allen is still playing!? I know he looks like he's 12, but he's been there at least 6 years, right?",6.0,4.0,6.0,5.333333333,5,0.0,6.0,2.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.152055,6.272603
147,"Pelosi, always one to reward failure, is trying to burden House Dems with Ben Ray Lujan as DCCC chair again. She's now incapable of learning",3.0,1.0,5.0,3.0,0,7.0,5.0,7.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.7214558,3.1012971
148,"leftists have cried wolf a few too many times, while Trump supporters r getting assaulted actually.",3.0,2.0,4.0,3.0,0,7.0,5.0,0.0,6.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.9027631,2.7853215
149,"So that's Obama Care, prosecuting Clinton & the Mexican border wall that he's now reneged on?! #lies #establishment…",2.0,3.0,4.0,3.0,0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,1.0,2.0,2.0,2.0,2.9324005,2.6809928
150,I want to see more robots fall in love with other robots,6.0,5.0,7.0,6.0,10,7.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,8.0,8.0,6.0,5.8348265,6.9022465
151,"There could be a thousand more Hairspray remakes, and I will still like the one with Zac Efron better.",9.0,6.0,4.0,6.333333333,10,7.0,1.0,10.0,9.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,6.993681,7.037693
152,"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Nothttps://t.co/SYFgzYscjy#uniteblue #notmypresident",4.0,4.0,4.0,4.0,5,9.0,6.0,0.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,3.668739,3.9030561
153,"The same people (leftists) who fought for women and gays, wanna allow the risk of terrorist migration in this country that kills them.",3.0,3.0,4.0,3.333333333,0,0.0,5.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.7678173,2.6165478
154,Fossil fuels will still provide 80% of global #energy supply in 2035 said Dr. Eveloy at Network’s workshop…,5.0,4.0,5.0,4.666666667,5,7.0,7.0,6.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.2489448,5.9422336
155,Loyalty's V.important 2.Dems GOPe Press all working against him. Mitt foreign policy vision diff.,5.0,5.0,4.0,4.666666667,0,0.0,2.0,7.0,6.0,4.0,4.0,6.0,5.0,3.0,3.0,3.0,4.2012663,3.5759292
156,Marion Le Pen has also accepted stolen wine from Crimea and agreed to new winemaking partnership #Sanctions #CrimeaIsUkraine,4.0,5.0,4.0,4.333333333,0,0.0,6.0,7.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.925528,3.0119464
157,".@DrJillStein Answers? What are the Qs?Problem is voter suppression, not vote chicanery.Focus on the former, not the latter.",3.0,4.0,5.0,4.0,5,9.0,10.0,0.0,9.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,3.0849705,2.9671133
158,"secures first major sales order worth around $65,000 #business #news #investment #ASX200 #Pharmaceutical",7.0,6.0,6.0,6.333333333,10,0.0,5.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,5.9201255,6.4496946
159,"IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne…",6.0,5.0,6.0,5.666666667,10,7.0,8.0,1.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,5.494964,6.012304
160,mi mamá didn't tell me there was codeine in the cough syrup she gave me so I spent all of Thanksgiving drugged wbu,4.0,4.0,5.0,4.333333333,5,7.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.3628292,3.7728724
161,Have a pesky relative that won't stop complaining about Trump? Check to see if they're registered to vote:https://t.co/ddJFVJrUZw,5.0,4.0,5.0,4.666666667,5,0.0,5.0,9.0,6.0,3.0,5.0,5.0,3.0,2.0,6.0,3.0,4.2138643,3.783113
162,Happy belated #NationalFastFoodDay!I want our #McDonalds with #McDelivery & #ShrimpBurgers like in #Seoul! My fav…,8.0,6.0,7.0,7.0,10,7.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,7.457692,7.473836
163,The The Orlando #Python User Group meetup is hosting the Deep Learning with #Python on Monday after next. Be there:,5.0,5.0,5.0,5.0,10,0.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,5.0,8.0,8.0,5.8116417,6.259149
164,it's soft conservatives who are cool with gay people (sometimes blacks) and drone strikes versus genuine progressives.,4.0,4.0,5.0,4.333333333,0,7.0,5.0,6.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.3236618,4.021882
165,Google Earth joins the VR revolution letting you wander the world in 3D:,7.0,6.0,6.0,6.333333333,10,0.0,1.0,1.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,6.2959104,6.9124985
166,"anyways u can assume I & others have the best intentions & wouldnt advocate nonconsentual testing for anyone, human or animal",3.0,5.0,5.0,4.333333333,5,7.0,10.0,0.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,4.4994674,6.2057114
167,"ruin ACA, privatize schools and Medicare, limit abortion choice, sell america's interests to line his pockets, start wars",2.0,3.0,4.0,3.0,0,0.0,7.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.8903883,2.5596576
168,she introduced Ivanka to her husband!? Wow all surrounded by Putin's agents,4.0,3.0,5.0,4.0,5,0.0,7.0,1.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,1.0,4.5847545,4.915577
169,Everyone knows that vegetarianism is synonymous with wellness! 🙄,4.0,5.0,6.0,5.0,10,7.0,10.0,0.0,3.0,8.0,6.0,8.0,3.0,2.0,3.0,3.0,4.1353707,6.4853177
170,"RT Trump supporters, please read this article. Do you support this? What possible response is there?",4.0,4.0,5.0,4.333333333,5,0.0,7.0,0.0,6.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0417829,4.5589094
171,To motivate deep learning & resilience help youth develop initiative. Great tips from,9.0,5.0,5.0,6.333333333,10,7.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.3654943,7.296965
172,#native american sex pictures download porn mp4 anal fissure homeopathy,5.0,2.0,5.0,4.0,5,0.0,7.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.518507,3.7982955
173,Representing in the for my peeps. #brownandproud #bad-hombres #thanksgiving,5.0,5.0,7.0,5.666666667,5,0.0,10.0,0.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,6.4134927,6.2240434
174,Ethics counsels for W & Obama: Electors shd vote #Clinton if #Trump retains ownership of his businesses #UniteBlue,3.0,5.0,5.0,4.333333333,5,0.0,7.0,10.0,9.0,8.0,4.0,8.0,5.0,6.0,4.0,5.0,4.8279734,4.4716926
175,The New York Times doesn't even pretend to cover the news anymore. Where are their articles about anti-Trump riots?,4.0,4.0,4.0,4.0,0,0.0,5.0,7.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.8769226,2.6429908
176,67.4 kg gold missing from Delhi airport in 7 months - via,5.0,5.0,5.0,5.0,0,7.0,4.0,0.0,0.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,4.227215,3.2592428
177,#ESPN 2013-14 Panini Gold Standard Gold Prospects #35 Harrison Barnes /49 #TFBJP,3.0,6.0,5.0,4.666666667,5,0.0,1.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0576277,5.440558
178,"...and by ""genocidal antisemites"" you mean Steve Bannon, right?#NotMyPresident",3.0,3.0,5.0,3.666666667,0,7.0,7.0,1.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.85013,2.6904085
179,"Rimmel Cosmetics, Avon and Cover Girl: You have got to stop making “cosmetics of cruelty”!",5.0,4.0,4.0,4.333333333,0,7.0,7.0,10.0,0.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.8492868,2.6292932
180,#Marijuana is medicine. 4 a very authoritative medical review of #cannabis https://t.co/9VlyPQTnGT No Exp date,3.0,6.0,6.0,5.0,5,7.0,5.0,1.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,5.999922,6.224657
181,What would The [un] & Conservatives say if or did a secret deal to give $300miln to WA? #auspol,3.0,5.0,4.0,4.0,0,0.0,10.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.7395415,4.8119273
182,#Prophet #Muhammad was treating every one of his #companions as if he most #beloved one to him. #Ep06_,7.0,5.0,7.0,6.333333333,10,0.0,10.0,2.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,6.44263,6.5629425
183,Shame on #Barcelona fans for #homophobia displayed towards #RainbowLaces…,3.0,3.0,3.0,3.0,0,9.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,9.0,2.0,1.0,2.7134867,2.5951393
184,He's already ENRICHING HIMSELF by charging SS TOP price Towers Melania should b forced 2 live when time,3.0,5.0,5.0,4.333333333,0,0.0,5.0,0.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,3.4097915,2.7805133
185,You can now virtually travel the planet as #Google Earth is available in VR.,7.0,5.0,7.0,6.333333333,5,0.0,9.0,1.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,6.7108717,6.7669506
186,The best holiday ever National Fast food day #NationalFastFoodDay,8.0,7.0,7.0,7.333333333,10,0.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,7.471263,7.482095
187,Fast food companies spend $2B advertising to children each year. How's a parent to compete? #NationalFastFoodDay,3.0,4.0,4.0,3.666666667,0,0.0,1.0,0.0,6.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,5.2073503,2.6583564
188,"Comey’s letter swung public opinion, it would not have cost her the election. Voter suppression did that.",4.0,5.0,4.0,4.333333333,0,0.0,7.0,5.0,6.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.3173897,5.498458
189,"If teachers are willing to make content wicked cool, students will be willing to engage in deep learning. #divergED…",6.0,5.0,6.0,5.666666667,10,7.0,6.0,1.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.055393,7.2371516
190,she plans to rig the recount...so the Trump admin better be ahead of this. Even Obama didn't want her to do it.,3.0,3.0,4.0,3.333333333,0,0.0,5.0,7.0,6.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.9214265,2.8873367
191,Increasingly looks like Russia just conducted a sophisticated intel & propaganda operation of historic significance…,4.0,4.0,5.0,4.333333333,5,9.0,7.0,0.0,6.0,6.0,4.0,2.0,4.0,2.0,3.0,2.0,4.796919,3.3751786
192,"A fine on that level does not really make much difference, does it 😔 #fracking destroys #environment",4.0,3.0,4.0,3.666666667,5,9.0,5.0,7.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.7330053,2.5687497
193,"The deplorables will have an awesome four year long hangover, think salt and hemroids, head in a sack bar of (cont)",2.0,5.0,5.0,4.0,0,0.0,7.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,3.2110796,5.5843487
194,When are we going to sign Mr. to his extention? Let's get it done!,7.0,5.0,6.0,6.0,10,9.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,6.1417847,6.83504
195,"Great, so how far will you comply? Just squeeze a little more gun control?Ban angled foregrips, fudd?",3.0,5.0,5.0,4.333333333,0,7.0,10.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.6780925,4.9574785
196,"""Focusing on [alt rightists'] respectability...makes white supremacy appear normal and acceptable.""",2.0,3.0,5.0,3.333333333,5,7.0,7.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.6258812,4.3404574
197,"George soros...a member of the National socialist German worker party(nazi party). He served under Hitler, Himmler,this man said...",4.0,2.0,5.0,3.666666667,0,0.0,7.0,0.0,0.0,2.0,4.0,8.0,1.0,0.0,1.0,0.0,4.8558617,4.651338
198,The Clinton Crime Foundation got everyone wanting to Pay to Play!,4.0,4.0,4.0,4.0,0,7.0,5.0,7.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.7426772,4.3773
199,The NeoFascist Conservatives all cling to the fact that...,2.0,3.0,4.0,3.0,0,0.0,7.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.267317,5.1025214
200,FCBarcelona: Arda Turan missed Friday's training session at the Ciutat Esportiva due to a fever #FCBlive,4.0,4.0,4.0,4.0,5,7.0,5.0,0.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.154674,3.4148047
201,it just fucking blows because working a minimum wage job i need all the money i can get. shit isnt cheap.,2.0,4.0,3.0,3.0,0,7.0,1.0,7.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.6402678,2.5723407
202,Spirit of my silence i can hear you. But im afraid to be near you. #ThisIsUs 😍😍😍,7.0,5.0,5.0,5.666666667,10,7.0,10.0,9.0,7.0,5.0,8.0,6.0,8.0,8.0,7.0,6.0,6.2320147,4.5874414
203,Why does everything need a #remake? Enjoy the #classics! #BeautyandtheBeast #TheBradyBunch,5.0,5.0,4.0,4.666666667,5,7.0,10.0,8.0,7.0,6.0,4.0,3.0,4.0,3.0,5.0,4.0,7.096255,7.382683
204,"Brexit has started the disintegration of the EU, Italy&#39;s Europe minister says - - - The populist ...",3.0,5.0,4.0,4.0,0,0.0,6.0,0.0,6.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0531108,2.898819
205,Conflicts are only 1 of many issues facing racist/sexist/abusive/narcissistic despicable Trump. He also violated US…,3.0,2.0,3.0,2.666666667,0,9.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.7102082,2.5660865
206,"The Kelly File Special Nov 25, 2016 The Trump Transition ; Panel on Trump Cabinet Controversy: via",4.0,4.0,5.0,4.333333333,5,0.0,6.0,0.0,6.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,4.972276,5.1404433
207,The Democrats are behind the Anti Trump protests that turn into Riots.There Parents must be pleased with how they raised there Children.,3.0,3.0,5.0,3.666666667,0,0.0,5.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,3.3423042,3.0467665
208,Trump says to #draintheswamp but fills his cabinet with fucking Swamp Things,3.0,3.0,5.0,3.666666667,0,0.0,7.0,9.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.7437978,2.5632787
209,"white supremacists? alt-right? They're fucking Nazi scumbags, or as I like to call them ""anti-american shit-stain…",2.0,0.0,2.0,1.333333333,0,7.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.661214,2.5271215
210,75 percent of #Trump voters want to accelerate the growth of #clean #energy. #frackinghttps://t.co/LGmdweMk8q,5.0,5.0,6.0,5.333333333,5,0.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,6.6240845,6.1517296
211,and desperately trying to create brexit anxiety. Best to ignore mainstream media and laugh them off for what they are.,4.0,4.0,5.0,4.333333333,0,0.0,5.0,7.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.9434867,2.7683566
212,New All Party Parliamentary Group on Vegetarianism & #Veganism to discuss the impact of #Brexit Tues 3pm,5.0,5.0,5.0,5.0,5,7.0,1.0,5.0,6.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,4.9132895,5.383803
213,"Link in bio - Come on The Walking Dead, get it together. #TheWalkingDead",6.0,5.0,5.0,5.333333333,10,0.0,5.0,1.0,5.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,6.3912144,6.0556264
214,Using #homeopathy to heal #PneumoniaInDogs is quick & economical #NaturalDogs #HolisticDogs,7.0,5.0,6.0,6.0,5,0.0,3.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,6.5353274,6.8676515
215,Do you think the Trump administration will construct a wall on the Mexican border?,5.0,5.0,5.0,5.0,5,0.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8272114,4.962149
216,Dear President Trump I think you should mak Dr. Ben Carson assign to your cabinet as the US Surgeon General instead of HUD.,5.0,5.0,5.0,5.0,5,7.0,10.0,0.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,4.993311,4.6654196
217,"tried to drink, but just allergies so I sat there congested and bored watching David Blaine",4.0,4.0,4.0,4.0,0,0.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.3142192,3.231925
218,Yikes! Turnbull Gov to introduce voter registration licenses. 😉,4.0,4.0,4.0,4.0,5,0.0,9.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.067076,3.2302487
219,My opinion-This is a ploy to make an agreement between her and Trump. She won't protest if he won't prosecute.,5.0,4.0,5.0,4.666666667,5,0.0,1.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,3.5859911,3.7502573
220,"$2 Mil a DAY to protect Trump et al, because Melania doesn't want to move to DC, & Trumpkins wants to ""go home""",3.0,5.0,4.0,4.0,0,0.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.043477,4.3481684
221,only Marine le Pen seems pleased! Very concerning for Europe. Hope some heads start to really work in Brussels!,4.0,5.0,5.0,4.666666667,5,7.0,7.0,7.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,5.4004154,7.4003835
222,"Imagining a credible threat, can they force him to sit down for the briefing? ""Look son, some bad hombres wanna get you...""0",3.0,3.0,6.0,4.0,5,0.0,0.0,0.0,5.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.189454,3.3355522
223,Here's Obama legacy; we started his presidency with 3 wars and we end it with 7! & drone strikes; & Hillary wanted…,3.0,2.0,4.0,3.0,0,7.0,7.0,6.0,7.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.7678878,4.7236824
224,Why are oral vaccines less common than injected vaccines even if it can induce both systemic and mucosal immunities?,4.0,5.0,5.0,4.666666667,0,0.0,5.0,0.0,6.0,0.0,5.0,6.0,5.0,5.0,5.0,5.0,4.3556504,4.1090713
225,"To each her/his own. Most Conservatives, I simply disagree with, some I distrust and a few I dispise. Pick your #poison",3.0,2.0,4.0,3.0,0,7.0,7.0,1.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.1456807,3.0240226
226,"The thrill of seeing a wheelchair user in a movie doing boring, meaningless things that have nothing to do with euthanasia.",4.0,3.0,4.0,3.666666667,0,0.0,7.0,7.0,2.0,3.0,5.0,8.0,5.0,2.0,7.0,4.0,3.7633016,6.6131344
227,got a box of No.8 Maduro,5.0,5.0,5.0,5.0,5,8.0,8.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.3031616,5.690817
228,This am my 8yo talks to me about 3D printing new airways for me. #hewillgoplaces #lovehimtopieces #TBM #justbreathe,6.0,6.0,8.0,6.666666667,10,0.0,8.0,0.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.232312,7.339271
229,"True, the Obama Admin. Squashed the Tea Party movement, unprecedented behavior.",3.0,3.0,5.0,3.666666667,5,7.0,7.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.9044657,4.2625217
230,"That's the first step in Gov't ""Gun Control"" Eliminate access to Ammunition.",4.0,5.0,5.0,4.666666667,5,0.0,5.0,1.0,0.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.6363769,3.9219942
231,".@NavyFederal the ""killer honeymoon"" commercial is so insensitive-u have drone strikes missing 90% of targets-not too funny #liberty",5.0,4.0,4.0,4.333333333,0,0.0,7.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.6523542,2.6147723
232,"Let's stop parsing.Just as #AltRight = Nazi, populist = anti-immigrant white supremacist. This is simple, irrefutable historical fact.",5.0,3.0,4.0,4.0,5,0.0,7.0,0.0,0.0,2.0,6.0,2.0,1.0,2.0,2.0,0.0,3.4544656,3.36951
233,See you kids tomorrow #blackfriday #blackweek #podesejogar #dobre #mordki #unitednations…,5.0,5.0,6.0,5.333333333,10,7.0,5.0,0.0,5.0,6.0,5.0,8.0,8.0,5.0,6.0,8.0,5.760798,6.55875
